                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63444,                 2.9105,                0.94838,                0.93824,                0.96774,                0.99014,                0.90617,                0.44449,                0.70663,                0.78375,                0.00024,                0.00024,                0.00024
                      2,                0.69363,                0.90181,                0.96022,                0.95815,                0.96774,                0.99028,                0.88077,                0.51605,                 2.6912,                0.80714,             0.00049505,             0.00049505,             0.00049505
                      3,                0.64275,                0.74779,                0.91858,                0.08654,                0.29032,                0.10389,                0.09208,                0.56972,                 17.641,                0.83404,             0.00074495,             0.00074495,             0.00074495
                      4,                0.67448,                0.67414,                0.94746,                0.65217,                0.48387,                  0.457,                0.36609,                0.76498,                 12.594,                0.91901,             0.00098971,             0.00098971,             0.00098971
                      5,                0.72971,                 0.6802,                0.95001,                0.00053,                0.09677,                 0.0003,                  4e-05,                    nan,                    nan,                    nan,              0.0012293,              0.0012293,              0.0012293
                      6,                 0.7839,                0.74095,                 1.0155,                0.00694,                0.03226,                0.00336,                0.00067,                    nan,                    nan,                    nan,              0.0014638,              0.0014638,              0.0014638
                      7,                0.78221,                0.79127,                  1.007,                0.00694,                0.03226,                0.00336,                0.00067,                    nan,                    nan,                    nan,              0.0016931,              0.0016931,              0.0016931
                      8,                0.75009,                0.67606,                 1.0025,                0.00133,                0.03226,                0.00073,                  9e-05,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                      9,                0.76444,                0.61634,                 0.9948,                0.00137,                0.03226,                0.00055,                0.00042,                 3.2449,                 406.99,                  9.788,              0.0018614,              0.0018614,              0.0018614
                     10,                0.71975,                0.61658,                0.97964,                0.00465,                 0.3871,                0.00293,                0.00195,                  1.661,                    inf,                 4.5391,              0.0018416,              0.0018416,              0.0018416
                     11,                0.75857,                0.68173,                 1.0051,                0.41815,                 0.3871,                0.32334,                0.26838,                0.95566,                 6.4883,                 1.0819,              0.0018218,              0.0018218,              0.0018218
                     12,                0.76511,                0.63784,                0.99764,                0.72288,                0.41935,                0.49858,                0.38598,                0.71932,                 2.5759,                0.95571,               0.001802,               0.001802,               0.001802
                     13,                0.72574,                0.62747,                0.98435,                0.15005,                0.12903,                0.06096,                0.05229,                 2.1534,                 4.5804,                 3.1523,              0.0017822,              0.0017822,              0.0017822
                     14,                0.68885,                 0.5577,                 0.9569,                0.02113,                0.32258,                0.01001,                0.00806,                 1.2707,                 38.233,                 2.1551,              0.0017624,              0.0017624,              0.0017624
                     15,                0.72104,                 0.5216,                0.98623,                0.96617,                0.92166,                0.98047,                0.85733,                0.52076,                 1.3199,                 0.8585,              0.0017426,              0.0017426,              0.0017426
                     16,                0.72902,                0.55888,                0.99546,                0.95112,                0.93548,                 0.9866,                0.85707,                0.56355,                  1.116,                0.84682,              0.0017228,              0.0017228,              0.0017228
                     17,                0.70603,                0.52852,                0.99585,                0.96346,                0.93548,                0.96375,                0.85529,                0.48733,                0.47448,                0.83543,               0.001703,               0.001703,               0.001703
                     18,                0.65775,                0.48362,                0.93263,                      1,                0.86764,                0.93485,                0.84564,                0.47282,                0.48342,                 0.8324,              0.0016832,              0.0016832,              0.0016832
                     19,                0.66469,                0.51467,                0.97675,                0.96787,                0.97174,                0.99406,                0.90985,                0.44263,                0.56366,                0.82177,              0.0016634,              0.0016634,              0.0016634
                     20,                0.64981,                0.50246,                0.96531,                 0.9477,                      1,                0.99219,                0.88448,                 0.4522,                 0.5354,                0.81388,              0.0016436,              0.0016436,              0.0016436
                     21,                0.65388,                0.50298,                0.94959,                0.98419,                      1,                  0.995,                0.89406,                0.47547,                0.47684,                0.82419,              0.0016238,              0.0016238,              0.0016238
                     22,                0.61832,                0.46383,                0.91702,                0.99745,                0.96774,                0.99083,                0.90316,                 0.4604,                0.37836,                0.82135,               0.001604,               0.001604,               0.001604
                     23,                0.64771,                 0.4846,                0.93749,                0.93481,                      1,                0.98802,                0.89242,                0.52541,                0.44023,                0.83291,              0.0015842,              0.0015842,              0.0015842
                     24,                0.65111,                0.45927,                0.93594,                0.98002,                      1,                  0.995,                 0.9035,                0.42337,                0.35259,                0.81103,              0.0015644,              0.0015644,              0.0015644
                     25,                0.60686,                0.43775,                0.94436,                0.96799,                0.97582,                0.99406,                0.91099,                0.40502,                0.43811,                0.80719,              0.0015446,              0.0015446,              0.0015446
                     26,                 0.6193,                0.44833,                0.93397,                0.98715,                      1,                  0.995,                0.93874,                0.40448,                0.35673,                0.80692,              0.0015248,              0.0015248,              0.0015248
                     27,                0.58626,                0.41115,                0.92886,                0.98642,                      1,                  0.995,                0.89941,                0.42203,                0.41756,                0.81596,               0.001505,               0.001505,               0.001505
                     28,                0.56704,                0.41475,                0.89951,                 0.9947,                      1,                  0.995,                0.93139,                0.41696,                0.32276,                0.80437,              0.0014852,              0.0014852,              0.0014852
                     29,                0.60869,                0.44947,                 0.9279,                 0.9845,                      1,                  0.995,                0.91418,                0.40291,                0.39631,                0.79447,              0.0014654,              0.0014654,              0.0014654
                     30,                0.57963,                0.44459,                0.90801,                0.99341,                      1,                  0.995,                0.90107,                0.43636,                0.38621,                0.81265,              0.0014456,              0.0014456,              0.0014456
